tweets,label
"30 lakh afghanio ne pakistan ki economy tabah kr di hai, unko foran dhakky de kar nikalo yahan se kameeni qom hy nimak haram kahi k",H
"30 lakh afghaniyon ne pakistan ki economy tabah kr di hai, unhen foran nikal kr bahir phenk dena chahiye",H
30 saal sey jahil lougo ki hukumat chal rahi hai. ,H
"300 arab maaf ker ke awam ko bohut bara teekah lagaya gaya hai, awam ke liye hakumat ke paas koi relief nahi hai",H
4 din ata hai Larkian nachwata hai ghar chala jata hai ,H
5 saal australia main reh kr to tu firangi lund bun gya hai,H
"50 lakh afghaniyon ko wapis bhaga do, mulk mein aman ho jaye ga",H
"50 lakh sastey ghar paney waley intezar mein hein, ghar to nahi baney lekin iftetah bar bar ho raha hai",H
70 saal ka mard is better than a 30 year old hijra,H
"70% karachi waley nashai hotey hein, wahan paan aur gutkey se le ker chars tak ka nasha aam hai",H
"80 lakh kashmiri curfew mein jee rahey hein, sari dunya ko ye soortehaal dekhni chahiye",H
80 lakh kashmiri taqreeban 4 hafton se curfew ke ander band hein,H
80 se 90 feesad masail imran khan ki apni team ne paida kiye hein,H
aa gaye bhenchod,H
Aa ke ek bar dhyk to is bar pakistan par kabja na kar liy tab khnna,H
"aa raha hun bhenchod, gaand mein ghus jao insan ki",H
aa rha hum main teri maa chodny,H
aab o hawa badal rahi hai aur agr tum sochtey ho ke ye hamarey haq mein ho rahi to tum ahmeq ho,H
Aabe maderchod aake br shok v pura krle esbr to Pakistan ka namo neshan nhi rhega samjha be imran bhekhari sala,H
aafreen nai nooniyon aur jiyalon per jo apney leaderon ke kharbon khaa janey aur rungey hathon pakrey janey per bhi choon tak nahi kertay,H
aahh! Sb siyasatdan jhooty aur na-ahal hain,H
aaio bhdwao ka nijam tum wahi Harrami katpes hona jo halla se pada hua ho ammi se puch,H
aaj apni bandi k sath sex krwa de bhai plz,H
"aaj bharat kehta phir raha hai ke kashmir mein halaat mamool ki taraf lot rahey hein, agar ye baat darust hai to insani haqooq ke mubassireen ko wahan janey se kyun rok raha hai",H
aaj bhi asia se koi america jaye to usey nasli imteyaz ka samna krna purta hai,H
Aaj bhi nahin aaya ...jhota channel ary...manhos game show hi chalta raha...bakwas tereen fahad mustafa or us ka ghatya show.  ,H
aaj bhi nigahein us shakhs ko dhondti hein jo kehta tha matric k baad zindgi asaan hai bc,H
aaj bhi sochta hun ke us din irum ka baap jaldi ghar na aata to uski seal mery lun se hi tootti,H
aaj hindustan ke liberalism se pardah chaak ho raha hai,H
"aaj iqaamah waley kashmir per siyasat ker rahey hein, yeh wohi hein jo 5 saal jasoos kalbhushan jadhav ka naam tak nah le sakey thy",H
aaj kal ke sahafi jahil hein aur unhen sahafat ka pata hi nahi,H
aaj kal police waly badmash bany huay hein,H
aaj pakistan mein mehengai arooj per hai aur stock exchange zameen bos ho gai hai,H
aaj to didi qasam khaa ke aye hein ke maa chod dein gi logic ki,H
aaj vote ko izzat do walon ne vote ko hi ruswa ker diya,H
aakhari waqt mein hakumat ne aisy iqdamaat uthaye jis se sadar ka auhdah bhi mutnazeah huwa aur parliament ki haisiyat bhi mutnazeah hui,H
aala afsaraan hakumati support program per daaka martey rahey,H
aala hukkam eid mananey mein masroof hein aur awam pareshan hai,H
aalami baradari ko khabardar kerta hun k bharat tawajjah hataney k liye maqbooza kashmir mein jhoota operation ker sakta hai,H
aalami dabao ke bawajood jamal khashoggi ki laash unki halaakat ke eik saal baad bhi unke ahlekhana ko nahi mili hai,H
aam shehriyon ko nishana bnana unke buzdil hone ka saboot hai,H
"aam torney per mamooli jhagrah huhwa, jis per elaqey ke ba-aser wadeirey ne bhoorey walid aur uske 2 beton ko khoon mein nehla diya",H
aanti toh gussa e kr gai hain ,H
aao randi mere lund pe betho jannat dikha dunga,H
aap eik khabees insan hein,H
"aap ka aakhri budget khasara record 2.26 arab tha, kuch yaad aaya?",H
aap ke arstoo mulk ko 31 hazar arab ke qarzon ki daldal mein chor ker gaye,H
aap ki hakumat ki karkardagi ki qeemat sindh ke masoom bachey apni janen de ker adaa ker rahey hein,H
aap ki misali hakumat 19 arab dollar ka tijarti khasara chor ker gai,H
"aap log baraye meherbani pashtoonon ko maarna, dhamkana aur beghar kerna chor do",H
aap log us tabqey se taaluq rakhtay ho jahan beviyan exchange ki jati hein,H
aap ne apni besharmi aur beheyai se purey pakistan ko badnaam kiya hai,H
aap ne to is kaam ke paisay pakdae hain bhool gie hum,H
aap paidaishi ahmaq ho ya us k lye koi khas medicine lete ho,H
aap peshawar mein 1 kharab ke khaddey khod ker bhi 1 metro nah bana sakey,H
aap samajhtey hein ke awam apki tarah chutiya hai ke jo kaho gey maan le gi,H
aap sarkon pe reh ke khush hu..,H
aap se NRO mang kon raha hai? ehtisaab nahi aap inteqaam le rahey hein,H
aap to pakistan ke culture ki dushman ho,H
Aapsay baat karne ka koi faidaa nahe. You win.,H
"aashiq bhi hun qatil bhi hun, loru bhi hun gandu bhi hun",H
Ab ali zafar kay bhai ko marna paray ga ,H
ab amreeki b isi tarah marein gey,H
ab bolo kis ki sooch badlo gay jo jisko acha smjhta hai smjhta rahy ga aur apny leader ki khamioon ko khaami nhi smjhta jaesy ap ik ki burai ko bura nhi bolty wasein yeh aurat nawaz ki burai ko burai nhi bolti,H
Ab foag ka.hamayti kaha.ha,H
ab hakumat ko mazeed waqt dena is mulk aur qoum ke sath ziyadati hogi,H
ab is madarchod ka roast bny ga,H
Ab jab ek naya banda parha likha kuch acha karna chah raha ha ke wahi puraani parties ko support karo jinhon ne kuch nahe kia.,H
Ab Jannat Mirza bsdwali pa bhe banao video,H
ab jitty ga b tou daandali r corruption sy hi jitty ga. ,H
Ab puri awaam teri jaisi hai.350 dam ki hoax phela kar khush horahi hai.Sach pata ho to nahi milenge vote,H
"ab saari duniya janti hai ke taliban Pakistan sab aik dehshat kard hain
hmm dhshtgrdi ke khilaaf hai,   kya aap log tehreek taliban Pakistan ko Pakistan par hukmarani karne deingay? ?",H
Ab sach karwii tou lagi gi nah,H
ab samjh aye sub isay pithu pithu kyun kehtey haen,H
ab taliban ko chahiye ke woh kahe jo America ki madad kere hum uskay khilaaf karwai karaingay,H
ab to leader bhi nai raha to vote kisko denna,H
ab to such bol dy bhosrike,H
ab us harami ka karobar thek nahi chaley ga,H
Ab ye Afghani Karachi ki halat or mazeed khrab krengy jab tak ye kameney idher rahengy. Namak haram jis ka khatey hy usi ko marty hy ye begairt,H
ab ye bhi bol do bsdk ki iska baap bhi school ka headmaster hai,H
ab ye chooran nahi bikta jo tum bech rahi ho afghan bhagori,H
ab ye log hi bhaunk rhe hai jo waqt per kuch na ker saky,H
ab ye wala manhoos reaction de ker tu meesna na bana ker,H
ab yeh timatar bechna kaam nahi day ga daur technology aur social media ki hai choti bachay ko bhi yeh maloom hai ke yeh jo dehsatgardi hai is ke peechay. .. yeh jo dhshtgrdi he is ke peechay wardi hai,H
yeh jo dhshtgrdi he is ke peechay wardi hai journal colonel be ghair un sab ke khoon ka hisaab zaroor hoga,H
sary fasaad ki jarr army hi hai. . . ,H
Abay o ksi rossi fojii ki karwai ke pedawar tm se baraa namak haram nai koii dunya me pakistan ka khaty b ho or bhonkty b hoo,H
abbay buddhay ye teray baap ki jaageer hai ya maa ki raato ki kamai hai?,H
abbay nikal gahaday ka lund,H
Abbey dosra wala bc Run Fast go fast bc that song..,H
Abbu bachao tehreek eik bar phir nakaam ho gai,H
abbu churaney ke elawah nah to opposition ki koi aur demand hai aur nah hi koi aur masla hai,H
abe bakrichod baaz aa ja,H
abe bc teri aukat kya hai jo pm k certificate dekhne ki baat kar raha hai,H
abe bharwe tu samajhta hai teri gali sunu gi khud tatti khata hai to dusro ko bolta hai,H
abe dalli sasti randiyo ki sodaagar,H
abe sale chuhe twitter par hi bolta rahta h kabhi samne bhi bola kar bc,H
Abe sale tu b fame k chakar main ducki bhai ko roast karta hai,H
Abe yrr koi nii..... uska b jugad lgaenge.... tu hi to punjab s h m to up s hu full jugadu.....,H
"abey aisey kon jata hai, tattey ho kya",H
abey bhosrike tum iske liye hamarey darwazey per chaley aye,H
abey chal gaindi ,H
abey gaand na phulao maa chod dein gey tumhari bhosrike,H
abey oye jahil ye edited video hai pagal ke bachey,H
Abhay salay phala aapni nazar theek kar haramii,H
abhi 10 min baad tumne koi neya randi rona shuru kiya hoga,H
Abhi Bhartiya nraz na hona eak bat pucho ka ya cawo ka peshap q peta apne maa ka peshap to khanzer be nahe pata,H
Abhi Bhartiya wo to ap log ho ka bap pta nahe chlta ka ap logo ka bap max hota barve ganda logo cawo ka peshap pena walo apko shram ate baghert logo ka ap cawo ka peshap or gobr kata ho,H
abhi selected chor chor,H
abhi to hm gaandu hyn ek zamana tha jab log humy lodu bh bulaty thy,H
"abhi to hum gandu hein sahab, eik zamana tha jab log hamein loru bhi bulatey thay",H
"abhi to kashmir mein curfew hai, haqaiq dunya ke samney aye hi nahi",H
abhi tou bht zulm sehna hai :'),H
Abhi tu khb rae thy tjhy raan chye jhooti,H
"abhi ye modi ko dehshattgard keh rahey thy. Nawaz sharif ne jb modi ko apney ghar mein shadi per bulaya, kia us waqt unhen sharam o haya nahi aa rahi thi?",H
Abhinandan nai apna mig qurban jo kia tha,H
abhinandhan ko chaiey pee kar bara maza aya hoga. Fuck india,H
abi abi hamen pta chala hai k chooter chowk mn eik bnda halak ho gya hai,H
Abi barish hoi dekha nai kya hal hova aur mall road wali road shayd nai dekhi tum ny us ma itna bada gara ban gya ha##,H
"abi bilawal meray samney hota to uski cheer ker rakh deta, tumharey baap ki jageer hai ke tumhen hissa kernay dein",H
"abi check ki uski profile, lesbo lag rahi hai qasam se, yeh aur is ke sath jo mard jaisi aurat hai",H
abi tax mang lia to bhenchodo ka rona shuru ho jana hai,H
abi tk mjy kisi actor ka lund choosny ko nahi mila hai,H
Abu ko roast kr rha hai bharvy,H
aby bhosrike tu ne hamen chootya samjha hua hai?,H
aby chal jahil hijra kahi ka,H
"aby chootye police aye hai, ganden thoky gi ab",H
aby gashti aurat apni mou say b allah ka naam na lay,H
Aby ja bhai apna kam kr vote ha naahi ajaty han  khn khn sy elction ma pta chal jay gaa ap ko jaheel qoum,H
Aby jahail logo ye Islamabad ha,H
aby loru kia gand mara raha hai,H
aby lulli k mu waley tu roast kry ga mjy,H
aby oh machar madarchod mjy tung na kr,H
Aby pagly to tum ho... ,H
aby sun! lund hai mera mota aur gaand hai teri choti,H
Aby tjy baby nae bola maeny .. Baby likha cox is mae bachi use hua tha to mjy yd aya thy baby kitna bura lgta a ,H
aby tu to sasti randi wali harkatain bhi krna shuru ho gya,H
abyy bhai rhny du tum ab..Qoum 3 basic need sy banti hai Health Education FoodYe roads wghera baad ki batein hai shaoor ki bt hai bss ur kch nhiEk kilo ata deny wala vote le jata hai lkn ye nhi sochty k humen ye ataa khud kamana kon sikhaega,H
acha chalo so jao shabash... tmhe raat k is peher he ye larki yaad ati hy discussion k liye...,H
Acha tell me yeh itnay baray baray jalsay joKarta hai woh pesa kahan sey ata hi ? Zakkat khata hai yeh gareebon ki hospital ko jo milti hai,H
acha teri amma ab pakki gashti bangae hai,H
"Acha to ye wo dehshatgard jo Musalman se darta hai,",H
Achay khaasay loug jahilo ko vote dene lag gaye toh hogaya kaam phir.,H
achi khabar ye hai ke kanjar mar gaya hai,H
adalat me jhuti gawahi deny waly lantiyon ko b saht saza honi chahie,H
Adeel Rana. Lannnnnaaaat ha wasy in bagarato pa b,H
admin to ne harami pan ka muzahira kiya hai –apne harami baap ki poori karstanyon pay roshni nahi daali yeh bhi batau ke is ne kitney nehattay afghani shehrion ko shaheed kya tum ne zindah bach jane walon ko jailon mein daal ke kaisay kaisay zulm nahi kiye tum yeh bhi likho tumhara baap islam ke phail jane ke khauf se ????? mumalik aur apni poori taaqat ke sath islam ko dabanay nikla tha par woh –apne tamam tar mazalim ke bawajood nakaam aur ???? ruswa ho ke nikla aur duniya ne dekha woh muthi bhar Allah ke sheron ke samnay –apne poooray ????? ittehaad ke sath bhi na thr saka aur tumhara ???? chehra khil ke poori duniya ke samnay aa gaya pajee mere khayaal se to taliban ko chahiye ke woh aalmi adalat mein jayen aur America par honay walay hamlay ki karstani ke nateejay mein –apne oopar lagey ilzamaat ke saboot mangeen,H
ae loray apna kam ker na ja ke,H
Aese jamhooriat pe lanat,H
afgani hoty hi sab se baray harami hain,H
afghan dehshatgard kashmir mein dakhil ho gaye hein aur bari karwai ker saktey hein,H
Afghan k dil patar k hai stupid afghani,H
"afghan larkian bohat advanced or bay haya hoti hain, acha howa taliban ne in pe pabandi lagaee",H
afghan larkio se smell ati hy,H
Afghan logon ko mulk se Nikal dena chaye,H
afghan namak haram ko uski harakton ka sabaq mil gaya hai,H
afghan oraten apny haqooq k liay nahi nikli ye americio or angrez larko ke peechy khafa hain jo har roz inko khush karty thay. Baighairat qom,H
"Afghan sarzamen par jaanghein musallat karna, afghanon ko mohajir ban'nay pay majboor karna, Afghan muhajreen ke naam pay duniya se paisay btorna, mazeed un ki sarzamen mein dehshatgardon ko bhejna, aur inhen afghanon ko panahi dainay ki bajaye jo tum logon. .. .",H
Afghani 2. Number kam hi krty he,H
afghani aaj bhi ghulami ki zindagi guzarney per majboor haen,H
Afghani chor hoty hein,H
Afghani dehshat gard hotay hain,H
Afghani dehshatgard hoty hyn,H
afghani ighwa baraye tawwan manshiat ki smnglng  aslaha ki smnglng bomb dhamakay har tarah ki buraee mean sab se phalay hyn,H
afghani kitni roti khatay hain zalim pakistan par boj banay bhety hy,H
afghani namak haram kutty kabi apni harkaton se baz nai aa skty,H
"afghani namak haram thay, namak haram hain aur namak haram hi rahen gay",H
afghani nimak haram,H
afghani sirf logon k boot chatnay k liay paida hoty hn,H
afghanio nimak haramo ko yaha se nikalo,H
Afghanistan k hukmaran apni awam ka khoon ka business kar k hakoomat pakray huey hyn,H
Afghanistan ka dukh to asy kr rhy hain jsy Pakistan ny india ka abba maar dia h,H
afghanistan mai logon se unke jaiz haqooq bhi cheen liye gaye hein,H
afghanistan mei mojood amreekiyon ko kutta bana ke qaid ker dena chahiey,H
"afghanistan mein aman ka qiyam phir khuwab bn gaya, amreeki sadar donald trump ne taliban ke sath aman muzakraat mansookh kernay ka elaan ker diya",H
afghanistan mein pakistani sifaratkaron ko harasan kiya janey laga,H
afghanistan nae pakistani ki maa chod di,H
"afghanistan pr taliban k qabzy k baad sy, india ki gaand phati hui h",H
Afghaniyon ne hamesha pakistan ki qamar mein chura ghompa hai,H
Afia jetna arsa gaub rahi us ka bachy sath they us ka bara beta taqreban 12 saal ka hy by us ka koi interview q ni aya hy ?,H
"Afia sadiqe hum sharminda ha, tera bachna Wala bagharat musharaf zinda ha.....",H
afreeki ho aur bully kuttay jesa na lagta ho ye ho nahi sakta,H
afreeki maayuvy janwaron ko b chod dety hn,H
afsos ishaq  aur abdalmjid ka talluq hamara karam zila para chmkni  se hai,H
afsos ki bat hai ke pakistan mein aaj bhi bari tadaad mein log bunyadi insani haqooq se mehroom hein,H
afsos se kehna perta hai ke jab musalmaanon per zulm hota hai tou dunya khamosh rehti hai,H
agar aap Islamabad mein jamhoriat aur kabul mein zor zabardasti ki Shariat ke haami hain to aap munafiqeen mein se hain .,H
"agar aap se mulk nahi chalta to aap chaley jao, iqtedaar se chimtey na raho",H
agar aap sochtey hein ke trump hoshyar hai to aap intehai darjey ke ahmeq hein,H
agar ab tum ne mujhy message kiya to main tumhara mohn torr dun ga,H
agar batty k paise kal tak na pohanchy tou factory ko aag laga dein gay,H
Agar beti paida hui to main tumhen maar dunga,H
Agar bilawal acha hota  toh lyari mei rehne wali jahil awaam bhi uski gaari pe pathar na maarti.,H
Agar IK ki jagah Nawaz hota to ab tak uska pishab nikal chuka hota,H
agar inhen mauqa mila to poori duniya mein aik bhi musalman zindah nahi rahay ga .,H
agar insaan ki pehchaan uske doston se hoti hai tou main is duniya ka sab se bara beghairat insaan hun,H
agar islam nafiz hota to imran khan ko sangsaar ker diya jata,H
agar itna bharosa hy tou apni bv ka secruity guard bhee kisi haqqani ko bana dena,H
agar karkardagi ki bunyaad per usman buzdar ko hataya gaya to isi tarah ka mutaalbah imran khan barey bhi shuru ho jaye ga,H
agar kashmiri musalmaan nah hotey tou sari dunya ne shor macha dena tha aur unka sath dena tha,H
"agar kisi ki pakki nokri is hakumat mein hai to wo usman buzdar hein, chahey wo kam karein ya nah karein",H
agar koi aur malik agar Afghan awam ko jaahil jabir aur zalim taliban se difaa krwaske to yeh bohat achi baat he,H
agar main president hota to sirf nangi bachian meri ird gird hotein,H
agar mery hath main france ki hakoomat aa jaye to main sari masjiden band kerwa dun,H
agar mjhe pata hota k tu shia hai to main tery se kabi dosti na karta,H
agar molana fazlurehman senate mein government ka sath dein to youthie kal se unhen daada abbu kehna start ho jayen gy,H
Agar molvi ke Gand main danda de deta aur q league ki na sunta to shaed is ki tasveer bhi ban jati. Not par Nahi par Hamare dil par,H
agar mujhe college mein dakhila nah mila to main aag laga dun ga,H
agar mujhe koi rokny wala na ho to main mohalley ki sari bachian chod dun,H
agar pakistan haram khor army dosry mulk ke bajaey apny mulk dehan deti tou aj newzealand kee team wapis nahi jati,H
agar PPP aur muslim legue noon ne us party ko support ker rahey hein jis ne 2% vote liye hein to unko sharam aani chahiye,H
"agar salahuddin case ko wazeer e azam khud dekhen to kuch ho sakta hai, lekin agar punjab hakumat aur punjab police per rahey to phir kuch nahi ho sakta",H
agar selector december tak imran khan ko ghar nahi bhejen gey to majboor ho ker hum islamabad aa ker usko ghar bhejen gey,H
agar talibban india a gae tu gae ka mootar peenay walo ko bhagney ka moqa bhee  nahi dengy,H
agar teri behen rundipany se baaz nai aa rahi to is mai hum sab ka kia kasur,H
agar teri maa ka deewana mohallay ka har mard hai to ye koi fakhar ki baat nahi,H
agar terrorism hota na pak tu udr baith kr bat be ni kr skty smjy,H
agar tu 1 bap ka hai to mera lun choosna chor de,H
agar tu gaand na marwaye to hum waqt per pohunch saktey hein,H
agar tu mera dost na hota to main ne tujhey goli maar deni thi,H
agar tu ne mujhey dobara gaali di to main teri bund phaar dun ga,H
agar tujhey bachpan mein hi qatal ker diya hota to aaj tera chutiyapa na dekhna perta,H
agar tum ab bhi trump ke supporter ho to tum pagal ho,H
agar tum is waqt meray paas hotay to main tumhara moun tor chuka hota,H
agar tum ne Imam Ali ke khilaf kuch kaha to masla ho jaye ga,H
Agar UK jaa kar bhi fark nahi para to lanat ho,H
"agar wazeer e azam imran khan ko ""clean karachi"" muham ki haqeeqat pata chal jaye to foran ali zaidi ko bartaraf ker dein",H
agar wo tum se shadi na karay tou us ke munh par acid dal do,H
agar ye kutia meri zindagi mein na aye hoti to aaj main london mein betha eyashi ker raha hota,H
agate namak haram,H
ager agley mahiney tak meray paisey wapis nah kiye to apney nuqsan ka tu khud zimmeydaar hoga,H
ager aisey nachna talent hai to shadiyon mein nachney waley sarey gaandu bachey talented huay,H
ager apne kashmir ko bachana hai aur apni shehrag ko mehfooz rakhna hai to iske liye is laadley ko hatana hoga,H
ager bharat apney hathyar pehly istemaal ker bhi le to pakistan ke paas itney hathyaar bach jayen gey ke woh bharat ko eik nahi balkeh kai bar neest o nabood ker dey,H
ager bharat ne kabhi pakistan se dosti kerna hoti to hamari kashmiri maon behnon ke ser se dopatta na khenchta,H
ager deal na hui to noon legue apney investors ke zariye molana fazal ur rehman ke jalson ko bharney ke liye khaas intezamaat kry gi,H
ager hukmaranon ne kashmir ka soda kiya to unhen pakistan mein qabar ki jagah bhi nahi miley gi,H
ager idaarey shahbaz sharif ko nahi pakartey to is mulk mein daaka aur chori ko jaiz qarar de dena chahiye,H
"ager jooti latkaney se apki gaari nuqsan ya haadsey se bach sakti hai to apki zindagi gaari se zayada qeemti hai, eik jooti galey mein bhi latka lein",H
ager shareef khandan ne 10 arab dollar de ker nawaz sharif ko churwa liya to ye dunya ki tareekh mein paison ke badley khareeda gaya mehenga tareen khota hoga,H
ager tu chup na huwa to apna lun teray moun mein daal dena hai,H
ager tu kisi khusray ki olaad nahi hai to mera samna ker bahir aa ka,H
ager tu kothay wali ka bacha na hota to aaj mujhe dhoka ne deta,H
ager tu mera baap hai tu ye bta k phupo k sath kab sula rha hai?,H
ager tumhen kiss kertay huay uski aakhen khuli hui hein to us kutiya per yakeen na kerna,H
ager ye kerna cute hai to mera lund cute hai,H
ager yehi chutiyapa kerna hai to main aaindah nahi aaon ga,H
agli bar gernalo ko bhjna ik b ni maryga,H
Agr 2008 main Mushraf nain afia ko USA ka hawaly kia to baqoul2us ka mamu ka wo 2008 main us ka pass ey thi aur 2 din rhyny ka bad chali gey they,H
agr bhatty k paisy kal tk na pohunchy to factory ko aag laga dein gy,H
agr dushman ne hum per jung musallat ker di to hamen larrny aur moun torr jawab deny ke liay tayar rehna chahiye,H
Agr is baar war hui to Pakistan duniya k nakshe se hi gayab hojayega,H
agr Molana senate mein government ka sath dein to youthiye kal se unhen daada abbu kehna start ho jayen gy,H
agr pakistan kashmiriyon ki madad kerna chahta hai to sab se pehley apni air space india ke liye band ker de,H
agr sarfraz madarchodi na dikhata to jeet quetta ki thi,H
"ahaahaaha!woh din yaad hai jab tu academy nahi aa raha tha and i said jaldi aaja, new bachi ai hai!and OUT OF NOWHERE ALI SHOWED UP!",H
ahan likin pmln bhe be izzat he ho rhi ,H
ahelkaron ne waqas ko car se bahir nikal ker goli mari,H
ahle hadees ghalat namaz party hain,H
ahle hadees kee peechy namaz nahi hoti,H
Ahmedabad mein corona virus ke musalman mareezon ke ward hindoun se alag ker diye gaye hein,H
Aho sala relu katta,H
"ahsan iqbal ki koi apney ghar mein bhi nahi sunta, unka kashmir wesay bhi kot lakhpat mein hai",H
ahsan iqbal mein ager itni ghairat hai to wo apna aqamah wapis ker dein,H
"ahsan iqbal ne kaha ke lagta hai selected wazeer e azam ko addalten, judge aur faisley bhi selected chahiyen",H
ahsan iqbal sahab aap per 22 crore awam ki bhook peyas aur bebasi ka qarz hai,H
AIDS seyah faam logon ki tarah phel raha hai,H
aik aik khoon ke qatray ka hisaab dena hoga yaad rakhen,H
aik baar phir imran ne apny ap ko taliban khan sabet kar lia,H
"aik kutia noor kanjari noor muqaddam aur kanjar zahir yeh ounchay gharane ke nasha walay ganday giroh se talluq rakhtay hain –apne nasha ki taskeen ke liye yeh jinsi aur aziat naak kaam karte hain aik ne dosray ko mara abhi is terhan kayi is sosayiti mein rehtay hain
laanat un sab kutton par karorron ka khail hai sab kamaain ge",H
aik mandir he phroh bahar road se nazar aa ne laga mein wahan kisi kaam se gaya tha mere zehen mein achanak khayaal aaya ke is mein daikhon aakhir kya he lekin jab mein is ke qareeb gaya aur jounhi is ki khirki mein jhanknay ki koshish ki to mere dil par ajhoosat cha gae mein foran wahan se daur sun-hwa aur astaghfar karne laga tab ja kar woh nausaad daur ????,H
Aik wari lant Sheikh sb twady ta,H
air route kernay se dushman ko sakht pegham jaye ga ke hum jung ke liye bilkul tayyar hein,H
"air space band kernay se bharat ko kharbon ka nuqsan hoga, kyun na hum kashmir mein uski harkaton per usey saza dein",H
airport intezamiya ki na-ehli ki wajah se sara intezam darham burham hai,H
Aisa koi madarchod rakhte hi nahi jo Khan ko blackmail kar sake,H
"aisa lag raha hai k mulk mein dictatorship hai, ikhlaqi iqdaar ka janaza nikal gaya hai",H
